iter	Passed	Remaining
430	1737	2293
431	1741	2289
432	1743	2283
433	1746	2278
434	1749	2272
435	1752	2266
436	1755	2262
437	1759	2258
438	1762	2252
439	1766	2247
440	1769	2242
441	1772	2238
442	1775	2232
443	1778	2227
444	1781	2222
445	1785	2218
446	1788	2212
447	1791	2207
448	1794	2201
449	1798	2197
450	1800	2192
451	1805	2189
452	1809	2185
453	1812	2180
454	1816	2175
455	1819	2170
456	1824	2167
457	1828	2163
458	1831	2158
459	1834	2153
460	1837	2148
461	1840	2142
462	1843	2138
463	1846	2133
464	1849	2128
465	1852	2122
466	1855	2117
467	1860	2114
468	1863	2109
469	1867	2105
470	1871	2102
471	1874	2096
472	1877	2091
473	1880	2086
474	1883	2081
475	1887	2078
476	1891	2074
477	1895	2069
478	1898	2065
479	1901	2059
480	1904	2055
481	1907	2050
482	1915	2050
483	1919	2046
484	1923	2042
485	1926	2037
486	1929	2032
487	1933	2028
488	1936	2023
489	1938	2018
490	1942	2014
491	1945	2009
492	1948	2004
493	1952	1999
494	1955	1994
495	1958	1990
496	1963	1986
497	1965	1981
498	1971	1979
499	1974	1974
500	1977	1969
501	1980	1964
502	1983	1959
503	1985	1954
504	1988	1949
505	1991	1944
506	1994	1939
507	1997	1934
508	2001	1930
509	2003	1925
510	2008	1921
511	2010	1916
512	2016	1914
513	2020	1910
514	2022	1904
515	2025	1899
516	2029	1895
517	2032	1891
518	2036	1887
519	2041	1884
520	2045	1880
521	2048	1875
522	2051	1870
523	2054	1866
524	2058	1862
525	2062	1858
526	2065	1853
527	2069	1849
528	2073	1845
529	2075	1840
530	2079	1836
531	2083	1832
532	2086	1827
533	2089	1823
534	2092	1819
535	2096	1814
536	2099	1809
537	2101	1805
538	2105	1800
539	2108	1796
540	2111	1791
541	2114	1786
542	2118	1782
543	2120	1777
544	2123	1772
545	2125	1767
546	2128	1763
547	2132	1759
548	2136	1755
549	2140	1751
550	2143	1746
551	2147	1742
552	2150	1738
553	2153	1733
554	2156	1729
555	2159	1724
556	2163	1720
557	2167	1716
558	2170	1712
559	2173	1708
560	2178	1704
561	2181	1700
562	2184	1695
563	2186	1690
564	2189	1685
565	2192	1681
566	2195	1676
567	2198	1672
568	2201	1667
569	2203	1662
570	2206	1657
571	2209	1653
572	2212	1648
573	2214	1643
574	2217	1639
575	2220	1634
576	2222	1629
577	2225	1624
578	2228	1620
579	2230	1615
580	2234	1611
581	2237	1606
582	2240	1602
583	2244	1598
584	2247	1594
585	2250	1590
586	2255	1586
587	2258	1582
588	2260	1577
589	2263	1573
590	2266	1568
591	2270	1564
592	2273	1560
593	2276	1555
594	2279	1551
595	2282	1547
596	2286	1543
597	2289	1539
598	2296	1537
599	2301	1534
600	2304	1529
601	2307	1525
602	2312	1522
603	2315	1517
604	2318	1513
605	2320	1508
606	2325	1505
607	2332	1503
608	2336	1500
609	2340	1496
610	2344	1492
611	2347	1488
612	2350	1483
613	2353	1479
614	2356	1475
615	2359	1471
616	2363	1467
617	2366	1462
618	2369	1458
619	2372	1454
620	2375	1450
621	2378	1445
622	2381	1441
623	2384	1436
624	2387	1432
625	2390	1427
626	2392	1423
627	2394	1418
628	2397	1414
629	2400	1409
630	2402	1405
631	2405	1400
632	2408	1396
633	2410	1391
634	2413	1387
635	2416	1383
636	2419	1378
637	2422	1374
638	2425	1370
639	2428	1366
640	2431	1362
641	2435	1357
642	2438	1353
643	2440	1349
644	2446	1346
645	2449	1342
646	2452	1337
647	2456	1334
648	2459	1330
649	2462	1326
650	2466	1322
651	2469	1317
652	2474	1314
653	2477	1310
654	2480	1306
655	2485	1303
656	2490	1300
657	2493	1296
658	2496	1292
659	2499	1287
660	2502	1283
661	2504	1278
662	2507	1274
663	2510	1270
664	2514	1266
665	2517	1262
666	2519	1257
667	2522	1253
668	2524	1249
669	2527	1245
670	2530	1240
671	2533	1236
672	2536	1232
673	2539	1228
674	2542	1224
675	2546	1220
676	2548	1216
677	2551	1211
678	2555	1208
679	2559	1204
680	2562	1200
681	2565	1196
682	2568	1192
683	2573	1188
684	2576	1184
685	2581	1181
686	2585	1177
687	2588	1173
688	2591	1169
689	2593	1165
690	2596	1161
691	2600	1157
692	2603	1153
693	2606	1149
694	2610	1145
695	2625	1146
696	2628	1142
697	2632	1138
698	2634	1134
699	2638	1130
700	2641	1126
701	2644	1122
702	2648	1118
703	2651	1114
704	2655	1111
705	2658	1107
706	2662	1103
707	2664	1099
708	2668	1095
709	2670	1090
710	2675	1087
711	2677	1083
712	2680	1079
713	2683	1074
714	2686	1070
715	2689	1066
716	2692	1062
717	2695	1058
718	2700	1055
719	2703	1051
720	2706	1047
721	2710	1043
722	2713	1039
723	2716	1035
724	2720	1031
725	2723	1027
726	2726	1023
727	2729	1019
728	2731	1015
729	2734	1011
730	2739	1007
731	2741	1003
732	2745	1000
733	2747	995
734	2751	991
735	2753	987
736	2756	983
737	2760	979
738	2762	975
739	2765	971
740	2768	967
741	2772	963
742	2777	960
743	2779	956
744	2782	952
745	2785	948
746	2800	948
747	2804	944
748	2807	940
749	2811	937
750	2816	933
751	2819	929
752	2833	929
753	2837	925
754	2842	922
755	2846	918
756	2849	914
757	2852	910
758	2856	906
759	2861	903
760	2867	900
761	2882	900
762	2885	896
763	2891	893
764	2895	889
765	2899	885
766	2903	881
767	2907	878
768	2916	876
769	2922	872
770	2928	869
771	2935	866
772	2940	863
773	2942	859
774	2945	855
775	2948	851
776	2952	847
777	2955	843
778	2958	839
779	2961	835
780	2964	831
781	2967	827
782	2972	823
783	2974	819
784	2978	815
785	2981	811
786	2985	807
787	2989	804
788	2993	800
789	2996	796
790	3000	792
791	3002	788
792	3008	785
793	3011	781
794	3013	777
795	3016	773
796	3019	769
797	3023	765
798	3028	761
799	3031	757
800	3036	754
801	3044	751
802	3048	747
803	3055	744
804	3058	740
805	3061	736
806	3064	733
807	3068	729
808	3074	725
809	3077	721
810	3080	717
811	3084	714
812	3090	710
813	3092	706
814	3096	702
815	3100	699
816	3104	695
817	3107	691
818	3115	688
819	3120	685
820	3124	681
821	3131	678
822	3134	674
823	3137	670
824	3144	666
825	3147	662
826	3151	659
827	3156	655
828	3159	651
829	3162	647
830	3165	643
831	3170	640
832	3184	638
833	3190	634
834	3195	631
835	3198	627
836	3202	623
837	3206	619
838	3210	616
839	3214	612
840	3221	609
841	3224	605
842	3227	601
843	3231	597
844	3234	593
845	3237	589
846	3240	585
847	3242	581
848	3246	577
849	3249	573
850	3252	569
851	3256	565
852	3260	561
853	3264	558
854	3268	554
855	3271	550
856	3274	546
857	3277	542
858	3279	538
859	3286	534
860	3289	531
861	3293	527
862	3295	523
863	3299	519
864	3304	515
865	3311	512
866	3318	509
867	3323	505
868	3327	501
869	3330	497
870	3335	493
871	3341	490
872	3347	486
873	3350	482
874	3354	479
875	3357	475
876	3361	471
877	3367	467
878	3376	464
879	3379	460
880	3381	456
881	3385	452
882	3389	449
883	3393	445
884	3396	441
885	3399	437
886	3402	433
887	3404	429
888	3409	425
889	3412	421
890	3416	417
891	3419	414
892	3423	410
893	3426	406
894	3429	402
895	3432	398
896	3435	394
897	3438	390
898	3442	386
899	3446	382
900	3449	379
901	3453	375
902	3457	371
903	3461	367
904	3463	363
905	3470	360
906	3475	356
907	3479	352
908	3483	348
909	3487	344
910	3490	340
911	3494	337
912	3499	333
913	3505	329
914	3509	325
915	3513	322
916	3516	318
917	3520	314
918	3523	310
919	3529	306
920	3533	303
921	3536	299
922	3539	295
923	3542	291
924	3547	287
925	3553	283
926	3557	280
927	3561	276
928	3565	272
929	3569	268
930	3573	264
931	3578	261
932	3583	257
933	3587	253
934	3597	250
935	3601	246
936	3605	242
937	3608	238
938	3611	234
939	3614	230
940	3617	226
941	3623	223
942	3628	219
943	3631	215
944	3637	211
945	3641	207
946	3644	203
947	3652	200
948	3655	196
949	3660	192
950	3663	188
951	3667	184
952	3671	181
953	3675	177
954	3678	173
955	3681	169
956	3687	165
957	3690	161
958	3693	157
959	3697	154
960	3700	150
961	3703	146
962	3706	142
963	3710	138
964	3714	134
965	3721	130
966	3725	127
967	3728	123
968	3730	119
969	3734	115
970	3738	111
971	3743	107
972	3747	103
973	3753	100
974	3759	96
975	3765	92
976	3769	88
977	3775	84
978	3779	81
979	3782	77
980	3788	73
981	3792	69
982	3795	65
983	3799	61
984	3805	57
985	3808	54
986	3814	50
987	3820	46
988	3825	42
989	3832	38
990	3836	34
991	3839	30
992	3843	27
993	3845	23
994	3849	19
995	3852	15
996	3864	11
997	3869	7
998	3872	3
999	3875	0
